timing_step_id,method,method_key,lambda,gate_fraction,tns,wns,exported_pair_count,total_exported_weight_mass
2,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-210.01428,-35.77562109375,153479,1556115.4393138885
3,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-103.20315,-18.720771484375,173165,1758564.0094413757
4,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-48.356535,-18.126484375,188023,1910231.2236394882
5,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-42.88507,-20.459296875,202051,2053068.6903266907
6,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-34.89761,-17.44560546875,215408,2189249.1777391434
7,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-35.6864075,-17.341033203125,225199,2290057.61992836
8,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-32.3661875,-16.954013671875,233981,2380893.1566267014
9,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-30.5630275,-16.013833984375,241465,2458945.307490349
10,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-27.81551,-11.5704892578125,247568,2524332.9637594223
11,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-26.51474,-8.444470703125,252913,2583498.607441902
12,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-22.0994875,-5.39080859375,256489,2626754.509929657
13,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-18.0420175,-5.22705224609375,258659,2655925.8493270874
14,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-17.29287625,-4.316087890625,260178,2679940.190293312
15,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-19.52824125,-4.843482421875,261442,2699644.6444244385
16,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-16.86131125,-4.55938037109375,262446,2716134.8455295563
17,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-15.64019875,-4.3652705078125,263085,2728815.184659958
18,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-15.189755,-4.37753125,263802,2741798.343513489
19,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-14.48963625,-4.4206005859375,264336,2752561.229669571
