case,method,method_key,variant,beta,timing_step_id,gp_iter,tns,wns,exported_pair_count,total_exported_weight_mass,tns_delta_vs_v3b,wns_delta_vs_v3b,exported_pair_count_delta_vs_v3b,total_exported_weight_mass_delta_vs_v3b
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,12,675,-73.401575,-30.6927734375,137235,249286.6818869352,-9.004184999999993,-12.690330078125001,6922,10932.86800622457
superblue16,DCF v3c,dcf_v3c_b005,v3c,0.05,13,690,-148.44763,-17.333064453125,184001,356491.66533737775,-3.1313900000000103,0.1657636718749984,-676,1196.4298020950519
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,1,510,-306.15338,-14.725646484375,344735,773561.6995160301,0.0,0.0,0,0.0
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,2,525,-211.56396,-15.660427734375,374156,827180.1652991625,-0.0005800000000135697,-9.765625000213163e-06,5,-0.4323638948844746
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,3,540,-56.376595,-7.387830078125,152600,344849.1693648535,-0.0005150000000000432,3.320312499965894e-05,-1,-0.23619195946957916
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,4,555,-52.175075,-7.5489267578125,162891,338630.84626770404,-0.0002550000000027808,0.00010302734375056133,45,115.72695629717782
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,5,570,-51.362245,-17.37625,170752,328775.75920209725,0.008175000000001376,-5.078124999968736e-05,-32,-198.77923159481725
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,6,585,-49.71563,-15.1289052734375,157927,299954.4845386634,0.006205000000001348,0.0009072265625000853,41,51.288488665712066
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,7,600,-67.513195,-9.473533203125,147868,281859.5592936176,-1.6499099999999913,-0.38832617187499885,-175,-211.55479870300042
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,8,615,-44.33365,-10.061296875,156743,277270.5131398982,0.06351500000000243,0.004812499999999886,771,879.5806198834907
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,9,630,-82.451965,-15.4944658203125,161449,289557.1715782717,1.278880000000001,0.03465332031249879,-1197,-4065.256547449855
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,10,645,-75.322465,-16.7364375,156852,273271.4938668873,2.1608750000000043,1.6065507812500002,1537,1160.5326644577435
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,11,660,-99.13001,-19.070501953125,172613,314357.3868631304,8.712580000000003,-0.06368554687499994,-10341,-21035.417026153125
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,12,675,-93.05561,-29.7241953125,167010,305016.3227678221,-28.65822,-11.721751953125,36697,66662.50888711144
superblue16,DCF v3c,dcf_v3c_b010,v3c,0.10,13,690,-85.28365,-17.207998046875,165989,300976.8315390321,60.03259,0.2908300781249977,-18688,-54318.40399625059
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,1,510,-306.15338,-14.725646484375,344735,773561.6995160301,0.0,0.0,0,0.0
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,2,525,-211.56402,-15.660408203125,374159,827181.5744608417,-0.0006400000000041928,9.765625000213163e-06,8,0.976797784329392
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,3,540,-56.37598,-7.3878623046875,152593,344849.3491415866,0.00010000000000331966,9.765624993107735e-07,-8,-0.05641522636869922
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,4,555,-52.175185,-7.548923828125,162851,338525.6610928306,-0.00036500000000216914,0.00010595703125027,5,10.541781423729844
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,5,570,-51.37056,-17.375939453125,170792,328994.37618877814,-0.00013999999999469992,0.0002597656249996305,8,19.83775508607505
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,6,585,-49.729425,-15.128158203125,157943,300006.4546344538,-0.00759000000000043,0.0016542968749995168,57,103.25858445611084
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,7,600,-67.26215,-9.470294921875,147876,281960.26174720004,-1.3988650000000007,-0.38508789062499993,-167,-110.85234512056923
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,8,615,-45.12512,-10.075451171875,156752,277594.1533757307,-0.7279550000000015,-0.009341796875000696,780,1203.2208557159756
